"year","Site","N","n","tau_all_kg","tau_all_cnt","mu_all_kg","mu_all_cnt","se_all_kg","tau_lrg_kg","tau_lrg_cnt","mu_lrg_kg","mu_lrg_cnt","se_lrg_kg"
1992,"1",43,43,16.781,742,0.390255813953488,17.2558139534884,0.0589494414550832,16.184314,681,0.376379395348837,15.8372093023256,0.00867005645006218
1992,"2",44,44,11.432,343,0.259818181818182,7.79545454545455,0.0387792482910689,10.384168,275,0.236003818181818,6.25,0.00531034256669102
1992,"3",43,43,10.991,600,0.255604651162791,13.953488372093,0.0335453468977181,6.634667,239,0.154294581395349,5.55813953488372,0.00308801912793299
1992,"4",44,44,14.38,769,0.326818181818182,17.4772727272727,0.0447174270261445,8.208439,290,0.186555431818182,6.59090909090909,0.00384815146544118
1992,"5",43,43,18.761,822,0.436302325581395,19.1162790697674,0.0481590036118442,14.335739,493,0.333389279069767,11.4651162790698,0.00561186696724746
1992,"6",44,44,12.528,688,0.284727272727273,15.6363636363636,0.0483545569216728,6.13451,236,0.139420681818182,5.36363636363636,0.00356951493946399
1992,"7",44,44,17.461,631,0.396840909090909,14.3409090909091,0.0570155197815811,15.91686,507,0.361746818181818,11.5227272727273,0.00783528925096169
1992,"8",44,44,10.628,414,0.241545454545455,9.40909090909091,0.0600243119749051,9.21074,302,0.209335,6.86363636363636,0.00784230682812467
1993,"1",43,43,13.454,379,0.312883720930233,8.81395348837209,0.0451801023602509,12.964221,325,0.301493511627907,7.55813953488372,0.00663908127381781
1993,"2",43,43,12.306,422,0.286186046511628,9.81395348837209,0.0442865837636535,9.513706,228,0.221248976744186,5.30232558139535,0.00522120527660025
1993,"3",44,44,9.438,508,0.2145,11.5454545454545,0.0345924703706239,6.357298,172,0.144484045454545,3.90909090909091,0.00351275480046021
1993,"4",43,42,6.29,521,0.146279069767442,12.1162790697674,0.0260547665292577,2.01613343800064,59.2273603082852,0.0468868241395498,1.3773804722857,0.00185020269990377
1993,"5",44,44,4.25,151,0.0965909090909091,3.43181818181818,0.020528387970461,3.531769,92,0.0802674772727273,2.09090909090909,0.0025717684778559
1993,"6",33,33,1.778,94,0.0538787878787879,2.84848484848485,0.0116635080336516,0.828272,26,0.0250991515151515,0.787878787878788,0.000945830787248971
1993,"7",43,43,4.186,194,0.0973488372093023,4.51162790697674,0.0212806715322806,2.683256,61,0.0624013023255814,1.41860465116279,0.00208024260003532
1993,"8",32,32,2.98,165,0.093125,5.15625,0.0230750768879997,1.677568,45,0.052424,1.40625,0.00229631803559974
1994,"1",44,44,7.934,341,0.180318181818182,7.75,0.030910423892411,5.679215,185,0.129073068181818,4.20454545454545,0.00333560592565712
1994,"2",44,44,10.668,503,0.242454545454545,11.4318181818182,0.0337793401485668,6.201659,201,0.140946795454545,4.56818181818182,0.00296039525353965
1994,"3",44,44,4.78,241,0.108636363636364,5.47727272727273,0.0206992735854477,2.313476,72,0.052579,1.63636363636364,0.0015103092015779
1994,"4",44,42,9.218,788,0.2095,17.9090909090909,0.0326389775287557,2.17224927878513,76.8010680907877,0.0493693017905712,1.74547882024518,0.00210575817167083
1994,"5",44,44,5.122,413,0.116409090909091,9.38636363636364,0.0183485837769365,1.217032,39,0.0276598181818182,0.886363636363636,0.000657262166871548
1994,"6",44,44,3.526,298,0.0801363636363636,6.77272727272727,0.0130391178781895,0.843347,32,0.0191669772727273,0.727272727272727,0.00047016020783369
1994,"7",43,43,9.402,663,0.218651162790698,15.4186046511628,0.0359970911172651,3.203387,112,0.0744973720930232,2.6046511627907,0.00187034766369415
1994,"8",48,48,15.161,872,0.315854166666667,18.1666666666667,0.0656721520208456,8.430202,276,0.175629208333333,5.75,0.00527072991684256
1995,"1",44,44,13.34,623,0.303181818181818,14.1590909090909,0.0409119261408867,9.402884,312,0.213701909090909,7.09090909090909,0.00434739235405107
1995,"2",44,44,8.738,377,0.198590909090909,8.56818181818182,0.0212390580753959,5.934487,206,0.134874704545455,4.68181818181818,0.00217460336958718
1995,"3",44,44,15.074,926,0.342590909090909,21.0454545454545,0.0412150847579947,6.987894,223,0.158815772727273,5.06818181818182,0.0028803658725608
1995,"4",42,42,12.148,775,0.289238095238095,18.452380952381,0.0410825040193131,4.91608,195,0.117049523809524,4.64285714285714,0.00256534878143845
1995,"5",44,44,5.08,337,0.115454545454545,7.65909090909091,0.0206247417703216,2.067443,81,0.0469873409090909,1.84090909090909,0.00126541219047008
1995,"6",44,44,5.244,380,0.119181818181818,8.63636363636364,0.0156421826529172,1.516096,59,0.0344567272727273,1.34090909090909,0.00068176552044902
1995,"7",44,44,13.724,593,0.311909090909091,13.4772727272727,0.037781946679688,9.90916,315,0.225208181818182,7.15909090909091,0.00411257777348986
1995,"8",44,44,20.202,1042,0.459136363636364,23.6818181818182,0.0703629190052533,13.130796,478,0.298427181818182,10.8636363636364,0.00689468131435138
1996,"1",44,2,11.544,531,0.262363636363636,12.0681818181818,0.0484723618522996,NA,NA,NA,NA,NA
1996,"2",44,7,6.72,317,0.152727272727273,7.20454545454545,0.0288884338552519,NA,NA,NA,NA,NA
1996,"3",44,6,13.116,823,0.298090909090909,18.7045454545455,0.0540603747739469,NA,NA,NA,NA,NA
1996,"4",43,9,11.684,729,0.271720930232558,16.953488372093,0.0453195168865701,NA,NA,NA,NA,NA
1996,"5",44,7,6.816,468,0.154909090909091,10.6363636363636,0.0234819398503427,NA,NA,NA,NA,NA
1996,"6",44,NA,13.674,811,0.310772727272727,18.4318181818182,0.0324681151714548,NA,NA,NA,NA,NA
1996,"7",43,10,4.412,207,0.102604651162791,4.81395348837209,0.0195994818657893,NA,NA,NA,NA,NA
1996,"8",44,5,14.662,732,0.333227272727273,16.6363636363636,0.0510331408265033,NA,NA,NA,NA,NA
1997,"1",44,43,10.046,364,0.228318181818182,8.27272727272727,0.0481566744996583,8.98298318187263,301.829201101928,0.204158708678923,6.85975457049837,0.00651439426238531
1997,"2",42,41,4.476,173,0.106571428571429,4.11904761904762,0.0247421345180184,3.73411153432032,125.726744186047,0.0889074174838172,2.99349390919158,0.003210731745904
1997,"3",44,44,7.858,535,0.178590909090909,12.1590909090909,0.0339644497358364,2.45371,77,0.0557661363636364,1.75,0.0015988563755461
1997,"4",42,42,10.918,727,0.259952380952381,17.3095238095238,0.0395163847048345,3.86419,135,0.0920045238095238,3.21428571428571,0.00215808199735978
1997,"5",44,44,7.314,461,0.166227272727273,10.4772727272727,0.0339666678989393,3.21979,105,0.0731770454545455,2.38636363636364,0.00225423504939811
1997,"6",42,42,8.81,759,0.209761904761905,18.0714285714286,0.0378005771748887,2.479391,99,0.059033119047619,2.35714285714286,0.00164150760039486
1997,"7",44,44,4.104,161,0.0932727272727273,3.65909090909091,0.0146662793558608,2.995351,84,0.0680761590909091,1.90909090909091,0.00161374155908698
1997,"8",43,42,10.652,636,0.247720930232558,14.7906976744186,0.0551139595140172,5.31640914595623,179.695238095238,0.123637421998982,4.17895902547065,0.00458028452377309
1998,"1",44,44,4.322,190,0.0982272727272727,4.31818181818182,0.0237138032532086,3.505355,109,0.0796671590909091,2.47727272727273,0.00289949336076072
1998,"2",44,44,2.724,106,0.0619090909090909,2.40909090909091,0.0115674242868472,2.121756,61,0.0482217272727273,1.38636363636364,0.00135830926508929
1998,"3",44,44,7.372,576,0.167545454545455,13.0909090909091,0.0287736565885012,2.802388,87,0.0636906363636364,1.97727272727273,0.00164896582856014
1998,"4",44,44,12.65,947,0.2875,21.5227272727273,0.0438564410402716,4.627965,180,0.105181022727273,4.09090909090909,0.0024188369139657
1998,"5",44,44,2.456,194,0.0558181818181818,4.40909090909091,0.0114167300890995,0.725691,26,0.0164929772727273,0.590909090909091,0.000508555985336591
1998,"7",44,44,5.167,239,0.117431818181818,5.43181818181818,0.0187491338130376,3.479456,108,0.0790785454545455,2.45454545454545,0.00190338988825017
1999,"1",44,44,4.492,239,0.102090909090909,5.43181818181818,0.0311906742273162,2.764252,80,0.0628239090909091,1.81818181818182,0.00289358543260389
1999,"2",43,42,11.394,537,0.264976744186046,12.4883720930233,0.0392618137679045,6.407632,206,0.149014697674419,4.79069767441861,0.00385674412810133
