"","466100","476006_h","476006_s","476007_h","476007_s","476033_h","476033_s","476035_h","476035_s","476036_h","476036_s","486001_h","486001_s","486005_h","486005_s","486031_h","486031_s","486034_h","486034_s","year"
"1",NA,NA,0.841195366511628,NA,0.627715440000001,NA,NA,NA,NA,NA,0.860365772558139,NA,0.532515940000001,NA,0.874883405,NA,0.563511126046512,NA,0.57280036,1992
"2",NA,NA,0.267718006395349,NA,0.118782253333333,NA,NA,NA,NA,NA,0.68978970883721,NA,0.2053052375,NA,0.214617193488372,NA,0.47289099,NA,0.630931481860465,1993
"3",NA,NA,0.35925285,NA,0.17667023,NA,NA,NA,NA,NA,0.39753307,NA,0.696338412916667,NA,0.482042726511629,NA,0.239501900000001,NA,0.534520139999999,1994
"4",NA,NA,0.446096744761904,NA,0.26275062,NA,NA,NA,NA,NA,0.6684007,NA,1.01222121,NA,0.68764102,NA,0.75528277,NA,0.43781749,1995
"5",NA,NA,0.470278538604651,NA,0.685135769999999,NA,NA,NA,NA,NA,0.578412119999999,NA,0.73463951,NA,0.226204266046512,NA,0.65717718,NA,0.336705600000001,1996
"6",NA,NA,0.469782094047619,NA,0.462445290476191,NA,NA,NA,NA,NA,0.50335483,NA,0.546130517209302,NA,0.20563092,NA,0.39372509,NA,0.234949502857144,1997
"7",NA,NA,0.378443065,NA,NA,NA,NA,NA,NA,NA,0.21655381,NA,NA,NA,0.258892535,NA,0.369374060000001,NA,0.13648602,1998
"8",NA,NA,0.485202837209302,NA,0.256248622325582,NA,NA,NA,NA,NA,0.22507166,NA,0.220569542439025,NA,0.62040011,NA,0.90209042,NA,0.584173029767441,1999
"9",NA,NA,0.52994835005814,NA,0.648559119999999,NA,NA,NA,NA,NA,0.396530969999999,NA,0.538678855,NA,1.285243355,NA,0.776288694761906,NA,0.916169925,2000
"10",NA,NA,0.534069195,NA,0.928896595,NA,NA,NA,NA,NA,1.14119148,NA,0.690897845000001,NA,0.75287773,NA,1.00484528790698,NA,1.9550971,2001
"11",NA,NA,1.05987863901163,NA,NA,NA,NA,NA,NA,NA,0.768460385,NA,0.459586364651163,NA,0.908604070000001,NA,1.47494327095238,NA,2.941514235,2002
"12",NA,NA,0.69535719,NA,1.009265015,NA,NA,NA,NA,NA,0.611882260000001,NA,0.513726564999999,NA,1.31235016,NA,1.22937628,NA,2.97272965,2003
"13",NA,NA,0.9628928375,NA,0.60166084,NA,NA,NA,NA,NA,3.116781525,NA,0.47910401,NA,1.452393635,NA,0.574904769999999,NA,3.26885019999999,2004
"14",NA,NA,0.880069272499999,NA,0.779922777674418,NA,NA,NA,NA,NA,1.65566962,NA,0.329958126666667,NA,1.91190659,NA,1.05651403,NA,3.47107398000001,2005
"15",NA,NA,0.817463072136702,NA,0.441448906109611,NA,NA,NA,NA,NA,2.84553451336593,NA,0.821115958701302,NA,2.21323806338967,NA,1.30373209961549,NA,3.40212950836217,2006
"16",NA,NA,1.6767638222543,NA,0.448665803841187,NA,NA,NA,NA,NA,3.57968766129015,NA,1.4565523449603,NA,2.67360280678306,NA,1.82682829789826,NA,5.92273727636216,2007
"17",NA,NA,1.82703122943616,NA,0.457797404892036,NA,NA,NA,NA,NA,3.45866796423217,NA,1.69671659268906,NA,4.1544560757287,NA,1.65755857930053,NA,5.27715379285387,2008
"18",NA,NA,1.18205460924931,NA,NA,NA,NA,NA,0.61767812243836,NA,4.90368120059659,NA,1.25826179781766,NA,3.16521803371083,NA,1.74250158551666,NA,4.70372213180039,2009
"19",NA,NA,0.529543313349424,NA,NA,2.01336163836164,NA,3.98947368421053,0.869832819536619,2.64352073141391,2.87916356027755,NA,0.408355749645354,NA,1.65579488421723,NA,1.20429673862482,NA,2.84166498490755,2010
"20",NA,0.508683974932856,0.552017269149116,0.5375,NA,NA,NA,NA,1.06823859740175,NA,6.26470968865334,NA,0.264554398659812,NA,1.47759645607751,1.35690866510539,1.24110084241805,1.86055525830807,4.27295442096517,2011
"21",NA,0.848688224527151,1.4789206588337,0.0606811145510836,NA,NA,1.54122979897713,NA,0.544641349514696,NA,6.73862145167243,0.977405773857257,0.893640154290558,0.883683904706566,1.46607229625569,NA,1.76984841604227,NA,3.19068638169282,2012
"22",2.42764549928954,NA,1.12717605781376,NA,NA,1.15385832109366,0.789153749746148,1.33749349432705,0.327616786459065,2.3355783074708,4.29080577642021,NA,1.43701141314429,NA,1.78874849468778,NA,1.93655824893606,NA,4.31182655728387,2013
"23",2.06875388372093,NA,1.042935575,NA,NA,1.6283185840708,1.33046253488372,NA,0.434410350000001,NA,4.16372549999999,NA,0.71690234,NA,1.89289698604651,1.44636795655126,2.46712359069767,1.45834978611385,4.13917405,2014
"24",2.33038354999999,1.09061570153353,1.45251481918605,NA,NA,NA,2.13196775,NA,0.54764765,NA,2.83393880000001,1.24125636672326,0.370777,1.02361007778154,0.625811449999999,NA,1.80227685,NA,3.13857719999999,2015
"25",NA,NA,1.5644534675,NA,NA,1.38811502882424,3.24189371,1.45740963855422,0.882619617,2.03698237885463,6.010345275,NA,1.107270395,NA,1.463316525,NA,3.72750366153846,NA,5.18967548,2016
"26",4.61287726842105,NA,3.051745235,NA,NA,NA,4.538761425,NA,1.377336345,NA,5.693982305,NA,3.22315444,NA,2.197454985,1.29781795511222,4.27865866153846,1.45128890586213,7.91017656,2017
"27",2.78233064999999,NA,3.236031425,NA,NA,NA,3.99587375,NA,1.23909665,NA,5.92190994999999,NA,3.47899790243901,NA,4.14878721860465,NA,4.03696465623502,NA,5.01801574999999,2018
