"year","Area","N","n","mu_all_kg","mu_lrg_kg","se_all_kg","se_lrg_kg"
1992,"1",43,43,0.390255813953488,0.376379395348837,0.0589494414550832,0.00867005645006218
1992,"2",131,131,0.28093893129771,0.192574610687023,0.0227327105957595,0.0024247345395536
1992,"3",175,175,0.339302857142857,0.260559137142857,0.0272923772708781,0.00323662689000198
1993,"1",43,43,0.312883720930233,0.301493511627907,0.0451801023602509,0.00663908127381781
1993,"2",130,129,0.215646153846154,0.137593364907697,0.0210814980518919,0.00218418627605663
1993,"3",152,152,0.0868026315789474,0.0573741118421053,0.0100822214080818,0.0010846271329013
1994,"1",44,44,0.180318181818182,0.129073068181818,0.030910423892411,0.00333560592565712
1994,"2",132,130,0.186863636363636,0.0809650324150389,0.0176925211133332,0.00131145345234927
1994,"3",179,179,0.185536312849162,0.0765026145251397,0.0213988743465499,0.0014963200313695
1995,"1",44,44,0.303181818181818,0.213701909090909,0.0409119261408867,0.00434739235405107
1995,"2",130,130,0.276615384615385,0.137218930769231,0.0210627123484774,0.00147616362739997
1995,"3",176,176,0.251420454545455,0.151269857954545,0.0234783465357075,0.00203893352340955
1996,"1",44,2,0.262363636363636,NA,0.0484723618522996,0
1996,"2",131,22,0.240610687022901,NA,0.0258098006587293,0
1996,"3",175,NA,0.22608,NA,0.0184437287191077,NA
1997,"1",44,43,0.228318181818182,0.204158708678923,0.0481566744996583,0.00651439426238531
1997,"2",128,127,0.18165625,0.0785313401118775,0.0198734815863178,0.00138326057838907
1997,"3",173,172,0.17849710982659,0.0809880991095736,0.0193223492573372,0.00139715839434148
1998,"1",44,44,0.0982272727272727,0.0796671590909091,0.0237138032532086,0.00289949336076072
1998,"2",132,132,0.172318181818182,0.0723644621212121,0.0195066236020321,0.00107573563355757
1998,"3",88,88,0.086625,0.0477857613636364,0.0114014026949189,0.000985078963448445
1999,"1",44,44,0.102090909090909,0.0628239090909091,0.0311906742273162,0.00289358543260389
1999,"2",130,116,0.331138461538462,0.147523350018664,0.0304591062917768,0.00478225245167415
1999,"3",172,172,0.156290697674419,0.0739878488372093,0.016196776195573,0.00120386360750246
2000,"1",44,44,0.179863636363636,0.137371295454545,0.025004832321749,0.00287905679787386
2000,"2",130,130,0.350961538461538,0.187688969230769,0.0321807588594298,0.00269357596967904
2000,"3",175,175,0.330017142857143,0.18054832,0.0300438174523871,0.00248544346085493
2001,"1",44,44,0.517636363636364,0.450057613636364,0.0628230601178242,0.00823447820283581
2001,"2",131,130,0.538450381679389,0.383935251908397,0.0435297054555308,0.0040121553791449
2001,"3",176,176,0.322465909090909,0.182754920454545,0.0265023006814665,0.00225702734058269
2002,"1",44,38,0.348568181818182,0.239974452736318,0.0513079703360763,0.00700682100395466
2002,"2",129,129,0.904682170542636,0.581186620155039,0.0613749930774244,0.00535194085737164
2002,"3",131,131,0.296267175572519,0.205624908396947,0.0274091652539989,0.00284572775076919
2003,"1",44,44,0.277545454545455,0.182836318181818,0.0511134113394754,0.00507617840059782
2003,"2",132,132,0.792772727272727,0.571126295454546,0.0684610198663551,0.00661430560017142
2003,"3",176,176,0.361159090909091,0.242061181818182,0.030087605607892,0.00301278252619989
2004,"1",44,44,1.41375,0.954265613636364,0.129253079201568,0.0131525880089476
2004,"2",132,132,0.825924242424242,0.437209537878788,0.0636252733828932,0.00373320702316856
2004,"3",176,176,0.322068181818182,0.192714869318182,0.0278216917508122,0.00227951148585317
2005,"1",44,44,0.751,0.556855090909091,0.0833254464202962,0.00931437177207243
2005,"2",132,132,0.871992424242424,0.318478454545455,0.0631284013805349,0.00283033846524387
2005,"3",173,173,0.404878612716763,0.185333161849711,0.0377837103303576,0.00228571437868542
2006,"1",42,4,1.29071427881718,1.07527816382624,0.0953198605599415,0.0273121373153662
2006,"2",132,12,0.836590909155255,0.383545252799111,0.0634586853309754,0.0363839402301651
2006,"3",172,16,0.490377906163245,0.196956856073286,0.0456892262366171,0.0400929683655021
2007,"1",43,4,1.62372094115546,1.25680960830612,0.115689002644615,0.116596574962631
2007,"2",131,12,1.46450381649246,0.380549321267644,0.0936854360393099,0.0660766670853446
2007,"3",175,16,0.675662857812643,0.35917121674997,0.0549925713419032,0.0305987079554346
2008,"1",44,4,1.56882726466791,1.25767151813393,0.127384228641555,0.050222188008363
2008,"2",132,12,1.43648106107748,0.4093851301845,0.0921854546983355,0.0464223794485403
2008,"3",172,16,0.850224420989322,0.372331560675558,0.0816232830126566,0.0167485278384503
2009,"1",87,8,1.26339771167643,0.988211004461239,0.124536661460977,0.0642270772563846
2009,"2",132,12,1.20901439585367,0.64596810822233,0.0841759411105016,0.0695871477544251
2009,"3",132,12,0.791906816168378,0.48272173439542,0.0671247285891402,0.0220200452411703
2010,"1",88,8,0.850259087691795,0.745704598484278,0.0781616668122277,0.0587075728711841
2010,"2",130,12,0.74060538222031,0.576589198343862,0.0599757892955089,0.0226577060440216
2010,"3",132,12,0.347611363540974,0.271339820647641,0.0428101925409775,0.00974523096732846
2011,"1",87,8,1.64954022309561,1.51339630576689,0.16192712219497,0.106809274119476
2011,"2",131,12,0.992519085245733,0.805191854422486,0.0822859226764823,0.0240920632139888
2011,"3",132,10,0.275530303630865,0.218217492872527,0.0351034153642943,0.0165019518912758
2012,"1",132,12,1.33424242426726,1.21135393274712,0.122756485601952,0.017962542850885
2012,"2",129,15,1.05310077181967,0.661733499239111,0.0625982554427591,0.0361812120559054
2012,"3",131,23,0.505954198333939,0.289964776362555,0.0489689079601018,0.0272189480257824
